client_id,snapshot_date,business_name,store_type,zone,registration_date,first_purchase_date,last_purchase_date,length_reference_date,length_source,has_transactions,length_days,recency_days,frequency,monetary,volume,L,R,F,M,V,n_transactions,frequency_last_3_months,frequency_previous_3_months,delta_frequency,es_nuevo,low_history_flag,churn_eligible
CLI-0001,2025-06-30,Pollería El Centro,restaurante,Chilca,2021-10-14,2021-10-13,2025-02-27,2021-10-13,first_purchase_date,True,1356,123.0,1,61.68,1,1356,123.0,1,61.68,1,137,0,1,-1,False,False,True
CLI-0002,2025-06-30,Tienda Wanka,bodega,Chilca,2022-02-19,2022-02-03,2025-06-29,2022-02-03,first_purchase_date,True,1243,1.0,20,3721.5,3,1243,1.0,20,3721.5,3,148,11,9,2,False,False,True
CLI-0003,2025-06-30,Tienda Santa Rosa,bodega,San Carlos,2022-04-13,2022-04-03,2025-06-28,2022-04-03,first_purchase_date,True,1184,2.0,16,3205.7,3,1184,2.0,16,3205.7,3,185,9,7,2,False,False,True
CLI-0004,2025-06-30,Licores San Martín,licoreria,Chilca,2021-12-11,2021-12-05,2025-06-30,2021-12-05,first_purchase_date,True,1303,0.0,16,2336.61,3,1303,0.0,16,2336.61,3,175,7,9,-2,False,False,True
CLI-0005,2025-06-30,Tienda El Progreso,bodega,El Tambo,2021-03-07,2021-03-15,2024-08-30,2021-03-15,first_purchase_date,True,1568,304.0,0,0.0,0,1568,304.0,0,0.0,0,134,0,0,0,False,False,True
CLI-0006,2025-06-30,Bodega La Esquina,bodega,Huancayo Cercado,2021-06-27,2021-06-06,2024-09-22,2021-06-06,first_purchase_date,True,1485,281.0,0,0.0,0,1485,281.0,0,0.0,0,140,0,0,0,False,False,True
CLI-0007,2025-06-30,Pollería El Progreso,restaurante,El Tambo,2022-02-23,2022-03-06,2025-05-06,2022-03-06,first_purchase_date,True,1212,55.0,4,254.52,2,1212,55.0,4,254.52,2,156,1,3,-2,False,False,True
CLI-0008,2025-06-30,Mini Don José,minimarket,Huancayo Cercado,2022-03-15,2022-03-11,2025-05-25,2022-03-11,first_purchase_date,True,1207,36.0,20,2278.86,3,1207,36.0,20,2278.86,3,137,5,15,-10,False,False,True
CLI-0009,2025-06-30,Market Don José,minimarket,Chilca,2022-07-08,2022-08-17,2025-06-22,2022-08-17,first_purchase_date,True,1048,8.0,17,1722.96,2,1048,8.0,17,1722.96,2,75,7,10,-3,False,False,True
CLI-0010,2025-06-30,Minimarket Wanka,bodega,Huancayo Centro,2021-03-18,2021-03-02,2025-06-03,2021-03-02,first_purchase_date,True,1581,27.0,12,1574.9,3,1581,27.0,12,1574.9,3,177,3,9,-6,False,False,True
CLI-0011,2025-06-30,Bodega Santa Rosa,bodega,El Tambo,2022-06-20,2022-06-07,2025-04-12,2022-06-07,first_purchase_date,True,1119,79.0,5,498.05,3,1119,79.0,5,498.05,3,107,1,4,-3,False,False,True
CLI-0012,2025-06-30,Minimarket Mantaro,bodega,San Carlos,2021-08-11,2021-08-10,2025-06-27,2021-08-10,first_purchase_date,True,1420,3.0,17,2780.24,3,1420,3.0,17,2780.24,3,189,10,7,3,False,False,True
CLI-0013,2025-06-30,Minimarket El Tambo,minimarket,El Tambo,2021-12-18,2021-12-17,2025-03-30,2021-12-17,first_purchase_date,True,1291,92.0,5,265.52,2,1291,92.0,5,265.52,2,66,0,5,-5,False,False,True
CLI-0014,2025-06-30,Tienda San Martín,bodega,Huancayo Centro,2021-01-13,2021-01-02,2025-06-25,2021-01-02,first_purchase_date,True,1640,5.0,33,7387.36,3,1640,5.0,33,7387.36,3,226,20,13,7,False,False,True
CLI-0015,2025-06-30,Minimarket El Paraíso,bodega,Chilca,2021-11-27,2021-11-17,2025-06-19,2021-11-17,first_purchase_date,True,1321,11.0,6,501.46,3,1321,11.0,6,501.46,3,154,2,4,-2,False,False,True
CLI-0016,2025-06-30,Pollería El Paraíso,restaurante,Huancayo Centro,2025-01-16,2025-01-01,2025-05-31,2025-01-01,first_purchase_date,True,180,30.0,12,510.82,2,180,30.0,12,510.82,2,13,3,9,-6,False,False,True
CLI-0017,2025-06-30,Tienda El Sol,bodega,Chilca,2022-05-05,2022-05-03,2025-06-25,2022-05-03,first_purchase_date,True,1154,5.0,13,1390.67,2,1154,5.0,13,1390.67,2,78,6,7,-1,False,False,True
CLI-0018,2025-06-30,Bodega La Familia,bodega,Huancayo Centro,2021-09-06,2021-09-13,2025-06-27,2021-09-13,first_purchase_date,True,1386,3.0,10,1637.3600000000001,3,1386,3.0,10,1637.3600000000001,3,101,5,5,0,False,False,True
CLI-0019,2025-06-30,Minimarket La Familia,minimarket,Chilca,2021-12-09,2021-12-04,2025-06-18,2021-12-04,first_purchase_date,True,1304,12.0,29,4517.24,3,1304,12.0,29,4517.24,3,206,18,11,7,False,False,True
CLI-0020,2025-06-30,Bodega La Económica,bodega,Huancayo Centro,2021-08-15,2021-08-01,2024-03-15,2021-08-01,first_purchase_date,True,1429,472.0,0,0.0,0,1429,472.0,0,0.0,0,100,0,0,0,False,False,True
CLI-0021,2025-06-30,Bodega San Martín,bodega,Huancayo Centro,2025-02-23,2025-02-21,2025-06-20,2025-02-21,first_purchase_date,True,129,10.0,7,339.09000000000003,2,129,10.0,7,339.09000000000003,2,7,4,3,1,True,False,False
CLI-0022,2025-06-30,Minimarket Los Olivos,bodega,El Tambo,2023-11-15,2023-11-13,2025-06-21,2023-11-13,first_purchase_date,True,595,9.0,9,795.64,2,595,9.0,9,795.64,2,35,5,4,1,False,False,True
CLI-0023,2025-06-30,Minimarket Santa Rosa,bodega,El Tambo,2022-04-09,2022-04-01,2025-02-14,2022-04-01,first_purchase_date,True,1186,136.0,4,357.01,2,1186,136.0,4,357.01,2,134,0,4,-4,False,False,True
CLI-0024,2025-06-30,Minimarket Mantaro,bodega,San Carlos,2025-01-04,2025-01-09,2025-06-19,2025-01-09,first_purchase_date,True,172,11.0,7,303.98,2,172,11.0,7,303.98,2,7,4,3,1,True,False,False
CLI-0025,2025-06-30,Mini El Paraíso,minimarket,Huancayo Cercado,2022-11-04,2022-11-07,2025-06-30,2022-11-07,first_purchase_date,True,966,0.0,16,1472.82,2,966,0.0,16,1472.82,2,84,8,8,0,False,False,True
CLI-0026,2025-06-30,Tienda El Tambo,bodega,Huancayo Centro,2021-05-06,2021-05-04,2025-06-21,2021-05-04,first_purchase_date,True,1518,9.0,21,3010.05,3,1518,9.0,21,3010.05,3,208,8,13,-5,False,False,True
CLI-0027,2025-06-30,Bodega El Ahorro,bodega,San Carlos,2021-04-09,2021-04-01,2025-06-26,2021-04-01,first_purchase_date,True,1551,4.0,25,4286.65,3,1551,4.0,25,4286.65,3,227,11,14,-3,False,False,True
CLI-0028,2025-06-30,Restaurant Santa Isabel,restaurante,El Tambo,2025-01-09,2025-01-16,2025-06-23,2025-01-16,first_purchase_date,True,165,7.0,10,1008.28,2,165,7.0,10,1008.28,2,10,5,5,0,True,False,False
CLI-0029,2025-06-30,Minimarket El Centro,minimarket,El Tambo,2022-04-29,2022-04-08,2025-06-28,2022-04-08,first_purchase_date,True,1179,2.0,25,3661.7599999999998,3,1179,2.0,25,3661.7599999999998,3,186,10,15,-5,False,False,True
CLI-0030,2025-06-30,Tienda San Martín,bodega,Huancayo Cercado,2025-05-15,2025-05-16,2025-05-21,2025-05-16,first_purchase_date,True,45,40.0,2,133.41,2,45,40.0,2,133.41,2,2,2,0,2,True,True,False
CLI-0031,2025-06-30,Pollería El Tambo,restaurante,Huancayo Centro,2022-06-28,2022-06-09,2025-01-23,2022-06-09,first_purchase_date,True,1117,158.0,2,114.66999999999999,1,1117,158.0,2,114.66999999999999,1,125,0,2,-2,False,False,True
CLI-0032,2025-06-30,Bodega Mantaro,bodega,El Tambo,2022-06-14,2022-06-02,2024-12-15,2022-06-02,first_purchase_date,True,1124,197.0,0,0.0,0,1124,197.0,0,0.0,0,99,0,0,0,False,False,True
CLI-0033,2025-06-30,Mini Don José,minimarket,Huancayo Centro,2022-04-17,2022-04-09,2025-06-27,2022-04-09,first_purchase_date,True,1178,3.0,33,2614.48,3,1178,3.0,33,2614.48,3,193,18,15,3,False,False,True
CLI-0034,2025-06-30,Tienda El Tambo,bodega,Chilca,2022-01-25,2022-01-08,2025-06-14,2022-01-08,first_purchase_date,True,1269,16.0,23,1750.19,3,1269,16.0,23,1750.19,3,171,8,15,-7,False,False,True
