transaction_id,client_id,date,amount,sku_count,categories_purchased
TXN-000001,CLI-0177,2021-01-01,311.59,7,gaseosas|agua|jugos
TXN-000002,CLI-0484,2021-01-01,221.87,8,gaseosas|agua|jugos|energeticas
TXN-000003,CLI-0430,2021-01-01,69.21,4,gaseosas|agua|jugos
TXN-000004,CLI-0195,2021-01-01,106.35,5,gaseosas|agua
TXN-000005,CLI-0324,2021-01-02,152.73,5,gaseosas|agua|jugos
TXN-000006,CLI-0160,2021-01-02,107.59,4,gaseosas|agua
TXN-000007,CLI-0014,2021-01-02,139.5,5,gaseosas|agua|jugos
TXN-000008,CLI-0310,2021-01-03,80.46,5,gaseosas|agua
TXN-000009,CLI-0484,2021-01-03,190.19,7,gaseosas|agua|jugos|energeticas
TXN-000010,CLI-0389,2021-01-03,103.24,9,gaseosas|agua|jugos
TXN-000011,CLI-0360,2021-01-03,68.12,2,gaseosas|agua
TXN-000012,CLI-0014,2021-01-03,139.14,7,gaseosas|agua|jugos
TXN-000013,CLI-0413,2021-01-04,44.91,2,gaseosas|agua
TXN-000014,CLI-0014,2021-01-04,123.94,4,gaseosas|agua
TXN-000015,CLI-0042,2021-01-04,234.56,10,gaseosas|agua|jugos|energeticas
TXN-000016,CLI-0193,2021-01-05,189.29,9,gaseosas|agua|jugos|energeticas
TXN-000017,CLI-0484,2021-01-05,183.24,8,gaseosas|agua|jugos
TXN-000018,CLI-0371,2021-01-05,107.21,7,gaseosas|agua|jugos
TXN-000019,CLI-0177,2021-01-06,264.33,7,gaseosas|agua|jugos
TXN-000020,CLI-0413,2021-01-06,44.66,3,gaseosas
TXN-000021,CLI-0360,2021-01-06,68.92,4,gaseosas|agua
TXN-000022,CLI-0064,2021-01-06,148.16,4,gaseosas|agua
TXN-000023,CLI-0456,2021-01-06,336.75,6,gaseosas|agua|jugos|energeticas
TXN-000024,CLI-0456,2021-01-06,339.72,8,gaseosas|agua|jugos|energeticas
TXN-000025,CLI-0389,2021-01-07,89.49,8,gaseosas|agua|jugos
TXN-000026,CLI-0360,2021-01-08,59.85,8,gaseosas|agua|jugos
TXN-000027,CLI-0227,2021-01-08,140.6,6,gaseosas|agua|jugos
TXN-000028,CLI-0227,2021-01-08,132.17,3,gaseosas|agua
TXN-000029,CLI-0389,2021-01-08,92.7,7,gaseosas|agua|jugos
TXN-000030,CLI-0080,2021-01-09,85.7,3,gaseosas|agua
TXN-000031,CLI-0014,2021-01-09,113.21,8,gaseosas|agua|jugos
TXN-000032,CLI-0456,2021-01-09,328.07,7,gaseosas|agua|jugos
TXN-000033,CLI-0160,2021-01-09,97.85,6,gaseosas|agua|jugos
TXN-000034,CLI-0297,2021-01-10,283.63,8,gaseosas|agua|jugos
TXN-000035,CLI-0297,2021-01-11,278.4,7,gaseosas|agua|jugos
TXN-000036,CLI-0193,2021-01-11,193.79,9,gaseosas|agua|jugos|energeticas
TXN-000037,CLI-0324,2021-01-12,138.42,4,gaseosas|agua
TXN-000038,CLI-0042,2021-01-12,251.91,6,gaseosas|agua|jugos
TXN-000039,CLI-0282,2021-01-12,79.26,5,gaseosas|agua|jugos
